DATE,BAMLEMCBPITRIV
1999-06-08,108.77
1999-06-09,108.85
1999-06-10,108.71
1999-06-11,108.67
1999-06-14,108.54
1999-06-15,108.74
1999-06-16,108.94
1999-06-17,109.42
1999-06-18,109.5
1999-06-21,109.74
1999-06-22,109.77
1999-06-23,109.77
1999-06-24,109.69
1999-06-25,109.65
1999-06-28,109.67
1999-06-29,109.78
1999-06-30,109.97
1999-07-01,110.13
1999-07-02,110.21
1999-07-05,110.26
1999-07-06,110.24
1999-07-07,110.29
1999-07-08,110.37
1999-07-09,110.5
1999-07-12,110.67
1999-07-13,110.47
1999-07-14,110.23
1999-07-15,110.18
1999-07-16,110.31
1999-07-19,110.56
1999-07-20,110.56
1999-07-21,110.61
1999-07-22,110.41
1999-07-23,110.23
1999-07-26,110.02
1999-07-27,109.75
1999-07-28,109.8
1999-07-29,109.7
1999-07-30,109.53
1999-07-31,109.95
1999-08-02,109.52
1999-08-03,109.45
1999-08-04,109.4
1999-08-05,109.34
1999-08-06,109.12
1999-08-09,108.84
1999-08-10,108.71
1999-08-11,108.72
1999-08-12,108.81
1999-08-13,109.03
1999-08-16,109.23
1999-08-17,109.49
1999-08-18,109.64
1999-08-19,109.67
1999-08-20,109.72
1999-08-23,109.71
1999-08-24,109.8
1999-08-25,110.08
1999-08-26,110.18
1999-08-27,110.26
1999-08-30,110.16
1999-08-31,110.1
1999-09-01,110.23
1999-09-02,110.38
1999-09-03,110.64
1999-09-06,110.71
1999-09-07,110.62
1999-09-08,110.71
1999-09-09,110.69
1999-09-10,110.84
1999-09-13,110.88
1999-09-14,110.87
1999-09-15,110.99
1999-09-16,111.08
1999-09-17,111.03
1999-09-20,111.37
1999-09-21,111.35
1999-09-22,111.44
1999-09-23,111.62
1999-09-24,111.88
1999-09-27,111.83
1999-09-28,111.76
1999-09-29,111.74
1999-09-30,111.9
1999-10-01,111.81
1999-10-04,111.9
1999-10-05,111.79
1999-10-06,111.8
1999-10-07,111.76
1999-10-08,112.2
1999-10-11,112.28
1999-10-12,112.26
1999-10-13,112.22
1999-10-14,112.12
1999-10-15,112.15
1999-10-18,112.04
1999-10-19,112.09
1999-10-20,112.09
1999-10-21,112.23
1999-10-22,112.38
1999-10-25,112.47
1999-10-26,112.55
1999-10-27,112.82
1999-10-28,113.24
1999-10-29,113.55
1999-10-31,113.59
1999-11-01,113.59
1999-11-02,113.76
1999-11-03,113.87
1999-11-04,114.06
1999-11-05,114.41
1999-11-08,114.56
1999-11-09,114.69
1999-11-10,113.83
1999-11-11,113.92
1999-11-12,114.23
1999-11-15,114.54
1999-11-16,114.65
1999-11-17,114.54
1999-11-18,114.5
1999-11-19,114.68
1999-11-22,114.74
1999-11-23,114.89
1999-11-24,115.02
1999-11-25,114.82
1999-11-26,113.64
1999-11-29,113.61
1999-11-30,113.58
1999-12-01,113.04
1999-12-02,113.04
1999-12-03,113.25
1999-12-06,113.4
1999-12-07,113.63
1999-12-08,113.68
1999-12-09,113.73
1999-12-10,113.94
1999-12-13,114.15
1999-12-14,114.04
1999-12-15,114.15
1999-12-16,114.05
1999-12-17,113.92
1999-12-20,114.06
1999-12-21,114.13
1999-12-22,114.11
1999-12-23,114.15
1999-12-24,114.17
1999-12-27,114.29
1999-12-28,114.24
1999-12-29,114.46
1999-12-30,114.53
1999-12-31,114.7
2000-01-03,114.64
2000-01-04,114.57
2000-01-05,114.49
2000-01-06,114.55
2000-01-07,114.68
2000-01-10,114.74
2000-01-11,114.53
2000-01-12,114.47
2000-01-13,114.61
2000-01-14,114.72
2000-01-17,114.77
2000-01-18,114.71
2000-01-19,114.88
2000-01-20,114.91
2000-01-21,114.97
2000-01-24,115.15
2000-01-25,115.22
2000-01-26,115.4
2000-01-27,115.4
2000-01-28,115.41
2000-01-31,115.38
2000-02-01,115.37
2000-02-02,115.56
2000-02-03,116.16
2000-02-04,116.25
2000-02-07,116.35
2000-02-08,116.35
2000-02-09,116.58
2000-02-10,116.5
2000-02-11,116.64
2000-02-14,116.82
2000-02-15,117.23
2000-02-16,117.31
2000-02-17,117.32
2000-02-18,117.46
2000-02-21,117.53
2000-02-22,117.87
2000-02-23,117.9
2000-02-24,118.11
2000-02-25,118.14
2000-02-28,118.16
2000-02-29,118.19
2000-03-01,118.33
2000-03-02,118.44
2000-03-03,118.61
2000-03-06,118.88
2000-03-07,119.11
2000-03-08,119.18
2000-03-09,119.39
2000-03-10,119.35
2000-03-13,119.39
2000-03-14,119.39
2000-03-15,119.36
2000-03-16,119.45
2000-03-17,119.57
2000-03-20,119.63
2000-03-21,119.77
2000-03-22,119.89
2000-03-23,119.87
2000-03-24,119.89
2000-03-27,119.8
2000-03-28,119.81
2000-03-29,119.85
2000-03-30,119.77
2000-03-31,119.94
2000-04-03,119.81
2000-04-04,119.85
2000-04-05,119.97
2000-04-06,119.8
2000-04-07,119.94
2000-04-10,120.09
2000-04-11,120.07
2000-04-12,120.0
2000-04-13,119.92
2000-04-14,119.78
2000-04-17,119.74
2000-04-18,119.68
2000-04-19,119.68
2000-04-20,119.84
2000-04-24,119.88
2000-04-25,119.75
2000-04-26,119.82
2000-04-27,119.37
2000-04-28,119.31
2000-04-30,119.24
2000-05-01,119.27
2000-05-02,119.18
2000-05-03,119.09
2000-05-04,118.82
2000-05-05,118.29
2000-05-08,118.11
2000-05-09,117.94
2000-05-10,117.8
2000-05-11,117.55
2000-05-12,117.47
2000-05-15,117.55
2000-05-16,117.59
2000-05-17,117.47
2000-05-18,117.43
2000-05-19,117.25
2000-05-22,117.42
2000-05-23,117.38
2000-05-24,117.31
2000-05-25,117.26
2000-05-26,117.42
2000-05-29,117.47
2000-05-30,117.39
2000-05-31,117.58
2000-06-01,117.95
2000-06-02,118.47
2000-06-05,118.7
2000-06-06,118.67
2000-06-07,118.76
2000-06-08,118.75
2000-06-09,118.85
2000-06-12,119.04
2000-06-13,119.13
2000-06-14,119.28
2000-06-15,119.36
2000-06-16,119.68
2000-06-19,119.86
2000-06-20,119.92
2000-06-21,119.86
2000-06-22,119.8
2000-06-23,119.65
2000-06-26,119.72
2000-06-27,119.75
2000-06-28,119.93
2000-06-29,119.98
2000-06-30,120.16
2000-07-03,120.47
2000-07-04,120.55
2000-07-05,120.67
2000-07-06,120.73
2000-07-07,120.83
2000-07-10,120.91
2000-07-11,120.93
2000-07-12,120.96
2000-07-13,121.1
2000-07-14,121.05
2000-07-17,120.93
2000-07-18,120.94
2000-07-19,121.0
2000-07-20,121.29
2000-07-21,121.43
2000-07-24,121.48
2000-07-25,121.61
2000-07-26,121.72
2000-07-27,121.81
2000-07-28,121.85
2000-07-31,121.93
2000-08-01,121.99
2000-08-02,122.15
2000-08-03,122.3
2000-08-04,122.43
2000-08-07,122.5
2000-08-08,122.58
2000-08-09,122.73
2000-08-10,123.04
2000-08-11,123.02
2000-08-14,123.06
2000-08-15,123.12
2000-08-16,123.13
2000-08-17,123.18
2000-08-18,123.24
2000-08-21,123.22
2000-08-22,123.28
2000-08-23,123.61
2000-08-24,123.57
2000-08-25,123.61
2000-08-28,123.63
2000-08-29,123.55
2000-08-30,123.57
2000-08-31,123.89
2000-09-01,124.0
2000-09-04,124.08
2000-09-05,124.14
2000-09-06,124.22
2000-09-07,124.14
2000-09-08,124.14
2000-09-11,124.07
2000-09-12,124.08
2000-09-13,124.08
2000-09-14,124.11
2000-09-15,123.99
2000-09-18,123.74
2000-09-19,123.68
2000-09-20,123.72
2000-09-21,123.61
2000-09-22,123.64
2000-09-25,123.74
2000-09-26,123.74
2000-09-27,123.74
2000-09-28,123.78
2000-09-29,123.84
2000-09-30,123.87
2000-10-02,123.82
2000-10-03,123.76
2000-10-04,123.74
2000-10-05,123.72
2000-10-06,123.85
2000-10-09,123.92
2000-10-10,123.91
2000-10-11,123.88
2000-10-12,123.85
2000-10-13,123.12
2000-10-16,123.05
2000-10-17,123.12
2000-10-18,123.0
2000-10-19,122.7
2000-10-20,122.76
2000-10-23,122.83
2000-10-24,122.7
2000-10-25,122.72
2000-10-26,122.57
2000-10-27,122.62
2000-10-30,122.55
2000-10-31,122.45
2000-11-01,122.44
2000-11-02,122.48
2000-11-03,122.44
2000-11-06,122.4
2000-11-07,122.2
2000-11-08,122.29
2000-11-09,122.29
2000-11-10,122.43
2000-11-13,122.13
2000-11-14,122.63
2000-11-15,122.82
2000-11-16,123.09
2000-11-17,123.08
2000-11-20,123.17
2000-11-21,123.2
2000-11-22,123.29
2000-11-23,123.32
2000-11-24,123.28
2000-11-27,123.35
2000-11-28,123.42
2000-11-29,123.49
2000-11-30,123.26
2000-12-01,123.27
2000-12-04,123.32
2000-12-05,123.48
2000-12-06,123.84
2000-12-07,123.94
2000-12-08,123.97
2000-12-11,124.12
2000-12-12,124.14
2000-12-13,124.35
2000-12-14,124.63
2000-12-15,124.7
2000-12-18,124.88
2000-12-19,124.94
2000-12-20,125.3
2000-12-21,125.38
2000-12-22,125.49
2000-12-26,125.57
2000-12-27,125.6
2000-12-28,125.66
2000-12-29,125.77
2000-12-31,125.81
2001-01-02,126.31
2001-01-03,126.19
2001-01-04,126.55
2001-01-05,126.93
2001-01-08,127.11
2001-01-09,127.14
2001-01-10,126.97
2001-01-11,127.05
2001-01-12,126.96
2001-01-15,127.03
2001-01-16,127.04
2001-01-17,127.28
2001-01-18,127.55
2001-01-19,127.62
2001-01-22,127.55
2001-01-23,127.57
2001-01-24,127.5
2001-01-25,127.65
2001-01-26,127.8
2001-01-29,128.04
2001-01-30,128.3
2001-01-31,128.89
2001-02-01,129.0
2001-02-02,129.01
2001-02-05,129.05
2001-02-06,129.12
2001-02-07,129.23
2001-02-08,129.34
2001-02-09,129.59
2001-02-12,129.56
2001-02-13,129.57
2001-02-14,129.6
2001-02-15,129.42
2001-02-16,129.61
2001-02-19,129.65
2001-02-20,129.62
2001-02-21,129.42
2001-02-22,129.42
2001-02-23,129.52
2001-02-26,129.65
2001-02-27,130.0
2001-02-28,130.06
2001-03-01,130.25
2001-03-02,130.22
2001-03-05,130.24
2001-03-06,130.31
2001-03-07,130.65
2001-03-08,130.72
2001-03-09,130.66
2001-03-12,130.39
2001-03-13,130.3
2001-03-14,130.57
2001-03-15,130.57
2001-03-16,130.48
2001-03-19,130.44
2001-03-20,130.07
2001-03-21,130.19
2001-03-22,130.26
2001-03-23,129.86
2001-03-26,129.8
2001-03-27,129.54
2001-03-28,129.59
2001-03-29,129.46
2001-03-30,129.69
2001-03-31,129.72
2001-04-02,129.76
2001-04-03,129.77
2001-04-04,129.84
2001-04-05,129.56
2001-04-06,129.83
2001-04-09,129.88
2001-04-10,129.69
2001-04-11,129.53
2001-04-12,129.3
2001-04-16,129.19
2001-04-17,129.11
2001-04-18,129.33
2001-04-19,129.2
2001-04-20,129.23
2001-04-23,128.72
2001-04-24,128.62
2001-04-25,128.41
2001-04-26,128.6
2001-04-27,128.47
2001-04-30,128.51
2001-05-01,128.71
2001-05-02,128.98
2001-05-03,129.29
2001-05-04,129.37
2001-05-07,129.48
2001-05-08,129.54
2001-05-09,129.74
2001-05-10,129.78
2001-05-11,129.36
2001-05-14,129.31
2001-05-15,129.28
2001-05-16,129.39
2001-05-17,129.5
2001-05-18,129.79
2001-05-21,130.05
2001-05-22,130.5
2001-05-23,130.65
2001-05-24,130.83
2001-05-25,130.74
2001-05-28,130.79
2001-05-29,130.78
2001-05-30,130.91
2001-05-31,131.13
2001-06-01,131.3
2001-06-04,131.55
2001-06-05,131.87
2001-06-06,132.04
2001-06-07,132.17
2001-06-08,132.34
2001-06-11,132.51
2001-06-12,132.71
2001-06-13,132.75
2001-06-14,132.92
2001-06-15,132.99
2001-06-18,132.99
2001-06-19,132.94
2001-06-20,132.98
2001-06-21,132.99
2001-06-22,133.25
2001-06-25,133.39
2001-06-26,133.28
2001-06-27,133.17
2001-06-28,133.04
2001-06-29,132.66
2001-06-30,132.69
2001-07-02,132.9
2001-07-03,132.87
2001-07-04,132.85
2001-07-05,132.78
2001-07-06,132.81
2001-07-09,132.87
2001-07-10,133.02
2001-07-11,132.17
2001-07-12,131.72
2001-07-13,131.49
2001-07-16,131.63
2001-07-17,130.67
2001-07-18,130.72
2001-07-19,130.93
2001-07-20,130.85
2001-07-23,131.35
2001-07-24,131.45
2001-07-25,131.63
2001-07-26,131.54
2001-07-27,131.52
2001-07-30,131.64
2001-07-31,131.5
2001-08-01,131.43
2001-08-02,131.37
2001-08-03,131.38
2001-08-06,131.41
2001-08-07,131.49
2001-08-08,131.77
2001-08-09,132.17
2001-08-10,132.14
2001-08-13,132.64
2001-08-14,132.51
2001-08-15,132.45
2001-08-16,132.67
2001-08-17,133.01
2001-08-20,132.92
2001-08-21,132.9
2001-08-22,133.02
2001-08-23,133.0
2001-08-24,132.96
2001-08-27,133.03
2001-08-28,133.24
2001-08-29,133.64
2001-08-30,133.87
2001-08-31,133.84
2001-09-03,133.91
2001-09-04,133.6
2001-09-05,133.72
2001-09-06,133.96
2001-09-07,134.25
2001-09-10,134.18
2001-09-14,133.79
2001-09-17,133.65
2001-09-18,133.48
2001-09-19,133.75
2001-09-20,133.39
2001-09-21,133.26
2001-09-24,133.02
2001-09-25,133.06
2001-09-26,133.13
2001-09-27,133.34
2001-09-28,132.84
2001-09-30,132.89
2001-10-01,132.95
2001-10-02,133.06
2001-10-03,133.2
2001-10-04,133.17
2001-10-05,133.16
2001-10-08,133.24
2001-10-09,133.54
2001-10-10,132.82
2001-10-11,132.57
2001-10-12,132.64
2001-10-15,132.79
2001-10-16,133.04
2001-10-17,133.63
2001-10-18,133.63
2001-10-19,133.68
2001-10-22,133.68
2001-10-23,133.7
2001-10-24,133.8
2001-10-25,134.06
2001-10-26,134.24
2001-10-29,134.47
2001-10-30,134.53
2001-10-31,134.58
2001-11-01,134.78
2001-11-02,134.69
2001-11-05,134.76
2001-11-06,134.97
2001-11-07,135.15
2001-11-08,135.13
2001-11-09,135.0
2001-11-12,135.05
2001-11-13,135.14
2001-11-14,135.06
2001-11-15,134.94
2001-11-16,134.64
2001-11-19,134.8
2001-11-20,134.9
2001-11-21,134.63
2001-11-22,134.69
2001-11-23,134.63
2001-11-26,134.52
2001-11-27,134.53
2001-11-28,134.91
2001-11-29,134.94
2001-11-30,135.18
2001-12-03,135.19
2001-12-04,135.48
2001-12-05,135.17
2001-12-06,134.75
2001-12-07,134.41
2001-12-10,134.43
2001-12-11,133.79
2001-12-12,134.08
2001-12-13,133.97
2001-12-14,133.79
2001-12-17,133.35
2001-12-18,133.58
2001-12-19,133.87
2001-12-20,133.96
2001-12-21,134.02
2001-12-24,133.73
2001-12-26,133.58
2001-12-27,133.54
2001-12-28,133.32
2001-12-31,133.48
2002-01-02,133.35
2002-01-03,133.39
2002-01-04,133.52
2002-01-07,133.88
2002-01-08,133.77
2002-01-09,133.72
2002-01-10,134.05
2002-01-11,134.23
2002-01-14,134.29
2002-01-15,134.32
2002-01-16,134.41
2002-01-17,134.25
2002-01-18,134.21
2002-01-21,134.35
2002-01-22,134.18
2002-01-23,134.19
2002-01-24,133.88
2002-01-25,133.85
2002-01-28,133.86
2002-01-29,133.98
2002-01-30,134.19
2002-01-31,134.09
2002-02-01,134.12
2002-02-04,134.24
2002-02-05,134.34
2002-02-06,134.54
2002-02-07,134.35
2002-02-08,134.45
2002-02-11,134.58
2002-02-12,134.6
2002-02-13,134.44
2002-02-14,134.48
2002-02-15,134.66
2002-02-18,134.78
2002-02-19,134.84
2002-02-20,135.12
2002-02-21,135.25
2002-02-22,135.35
2002-02-25,135.55
2002-02-26,135.52
2002-02-27,135.62
2002-02-28,135.84
2002-03-01,135.83
2002-03-04,135.68
2002-03-05,135.83
2002-03-06,136.1
2002-03-07,135.7
2002-03-08,135.63
2002-03-11,135.75
2002-03-12,135.8
2002-03-13,135.75
2002-03-14,135.68
2002-03-15,135.59
2002-03-18,135.86
2002-03-19,135.83
2002-03-20,135.72
2002-03-21,135.57
2002-03-22,135.77
2002-03-25,135.58
2002-03-26,135.78
2002-03-27,135.97
2002-03-28,135.55
2002-03-31,135.58
2002-04-01,135.91
2002-04-02,136.03
2002-04-03,136.05
2002-04-04,136.06
2002-04-05,136.44
2002-04-08,136.51
2002-04-09,136.53
2002-04-10,136.65
2002-04-11,136.52
2002-04-12,136.73
2002-04-15,136.22
2002-04-16,136.56
2002-04-17,136.53
2002-04-18,136.58
2002-04-19,136.56
2002-04-22,136.72
2002-04-23,136.85
2002-04-24,137.05
2002-04-25,137.19
2002-04-26,137.15
2002-04-29,136.86
2002-04-30,136.89
2002-05-01,136.97
2002-05-02,136.8
2002-05-03,136.83
2002-05-06,136.96
2002-05-07,137.01
2002-05-08,136.65
2002-05-09,136.52
2002-05-10,136.38
2002-05-13,136.24
2002-05-14,135.8
2002-05-15,135.9
2002-05-16,136.16
2002-05-17,136.04
2002-05-20,136.35
2002-05-21,136.49
2002-05-22,136.61
2002-05-23,136.55
2002-05-24,136.64
2002-05-27,136.66
2002-05-28,136.65
2002-05-29,136.86
2002-05-30,136.91
2002-05-31,136.79
2002-06-03,136.73
2002-06-04,137.01
2002-06-05,136.65
2002-06-06,136.06
2002-06-07,136.08
2002-06-10,136.16
2002-06-11,136.09
2002-06-12,136.11
2002-06-13,136.38
2002-06-14,136.5
2002-06-17,136.43
2002-06-18,136.5
2002-06-19,136.47
2002-06-20,136.24
2002-06-21,135.04
2002-06-24,134.74
2002-06-25,134.5
2002-06-26,134.74
2002-06-27,134.75
2002-06-28,134.43
2002-06-30,134.48
2002-07-01,134.96
2002-07-02,135.23
2002-07-03,135.43
2002-07-04,135.49
2002-07-05,135.2
2002-07-08,135.0
2002-07-09,135.29
2002-07-10,135.58
2002-07-11,136.08
2002-07-12,136.07
2002-07-15,135.9
2002-07-16,135.72
2002-07-17,135.81
2002-07-18,136.2
2002-07-19,136.48
2002-07-22,136.79
2002-07-23,136.81
2002-07-24,136.68
2002-07-25,136.44
2002-07-26,136.4
2002-07-29,135.84
2002-07-30,134.97
2002-07-31,134.57
2002-08-01,135.07
2002-08-02,135.51
2002-08-05,135.77
2002-08-06,135.13
2002-08-07,135.34
2002-08-08,135.49
2002-08-09,135.53
2002-08-12,135.94
2002-08-13,136.02
2002-08-14,136.16
2002-08-15,136.04
2002-08-16,135.69
2002-08-19,135.71
2002-08-20,136.24
2002-08-21,136.4
2002-08-22,136.13
2002-08-23,136.44
2002-08-26,136.83
2002-08-27,136.77
2002-08-28,137.13
2002-08-29,137.41
2002-08-30,137.81
2002-08-31,137.82
2002-09-02,137.82
2002-09-03,138.58
2002-09-04,138.54
2002-09-05,138.82
2002-09-06,138.81
2002-09-09,138.77
2002-09-10,138.83
2002-09-11,138.67
2002-09-12,139.17
2002-09-13,139.44
2002-09-16,139.71
2002-09-17,139.77
2002-09-18,139.89
2002-09-19,140.13
2002-09-20,140.01
2002-09-23,140.2
2002-09-24,140.22
2002-09-25,139.93
2002-09-26,139.63
2002-09-27,139.94
2002-09-30,140.27
2002-10-01,139.97
2002-10-02,140.02
2002-10-03,140.11
2002-10-04,140.12
2002-10-07,140.36
2002-10-08,140.36
2002-10-09,140.26
2002-10-10,139.65
2002-10-11,139.26
2002-10-14,139.34
2002-10-15,138.66
2002-10-16,138.49
2002-10-17,138.15
2002-10-18,138.19
2002-10-21,138.3
2002-10-22,138.15
2002-10-23,138.27
2002-10-24,138.44
2002-10-25,138.79
2002-10-28,139.17
2002-10-29,139.66
2002-10-30,139.6
2002-10-31,139.95
2002-11-01,139.87
2002-11-04,139.73
2002-11-05,139.72
2002-11-06,139.66
2002-11-07,140.3
2002-11-08,140.65
2002-11-11,140.73
2002-11-12,141.15
2002-11-13,141.11
2002-11-14,140.75
2002-11-15,140.64
2002-11-18,140.97
2002-11-19,141.4
2002-11-20,141.42
2002-11-21,140.92
2002-11-22,141.02
2002-11-25,141.2
2002-11-26,141.52
2002-11-27,141.02
2002-11-28,141.04
2002-11-29,141.3
2002-11-30,141.34
2002-12-02,141.4
2002-12-03,141.52
2002-12-04,141.86
2002-12-05,142.12
2002-12-06,142.19
2002-12-09,142.44
2002-12-10,142.59
2002-12-11,142.81
2002-12-12,143.16
2002-12-13,143.05
2002-12-16,142.93
2002-12-17,143.05
2002-12-18,143.49
2002-12-19,143.89
2002-12-20,144.06
2002-12-23,144.14
2002-12-24,144.33
2002-12-26,144.38
2002-12-27,144.77
2002-12-30,145.02
2002-12-31,145.11
2003-01-02,144.36
2003-01-03,144.43
2003-01-06,144.53
2003-01-07,145.01
2003-01-08,145.5
2003-01-09,145.11
2003-01-10,145.31
2003-01-13,145.36
2003-01-14,145.62
2003-01-15,145.91
2003-01-16,145.83
2003-01-17,146.1
2003-01-20,146.19
2003-01-21,146.14
2003-01-22,146.13
2003-01-23,146.07
2003-01-24,146.33
2003-01-27,146.16
2003-01-28,146.06
2003-01-29,146.05
2003-01-30,146.11
2003-01-31,146.34
2003-02-03,146.5
2003-02-04,146.79
2003-02-05,146.69
2003-02-06,146.9
2003-02-07,146.95
2003-02-10,147.02
2003-02-11,147.15
2003-02-12,147.53
2003-02-13,147.7
2003-02-14,147.48
2003-02-17,147.54
2003-02-18,147.52
2003-02-19,147.91
2003-02-20,148.13
2003-02-21,148.09
2003-02-24,148.41
2003-02-25,148.65
2003-02-26,148.64
2003-02-27,148.71
2003-02-28,148.95
2003-03-03,149.32
2003-03-04,149.47
2003-03-05,149.72
2003-03-06,149.81
2003-03-07,149.98
2003-03-10,150.06
2003-03-11,150.2
2003-03-12,149.85
2003-03-13,149.55
2003-03-14,149.34
2003-03-17,148.97
2003-03-18,148.82
2003-03-19,148.46
2003-03-20,148.24
2003-03-21,148.0
2003-03-24,148.39
2003-03-25,148.37
2003-03-26,148.5
2003-03-27,148.75
2003-03-28,149.14
2003-03-31,149.62
2003-04-01,149.77
2003-04-02,149.59
2003-04-03,149.87
2003-04-04,149.92
2003-04-07,150.02
2003-04-08,150.43
2003-04-09,150.71
2003-04-10,150.83
2003-04-11,150.69
2003-04-14,150.64
2003-04-15,151.04
2003-04-16,151.44
2003-04-17,151.6
2003-04-21,151.55
2003-04-22,151.94
2003-04-23,151.99
2003-04-24,152.54
2003-04-25,152.99
2003-04-28,153.09
2003-04-29,153.19
2003-04-30,153.83
2003-05-01,154.04
2003-05-02,154.36
2003-05-05,154.53
2003-05-06,154.87
2003-05-07,155.65
2003-05-08,155.93
2003-05-09,155.85
2003-05-12,156.47
2003-05-13,156.67
2003-05-14,157.2
2003-05-15,157.12
2003-05-16,157.36
2003-05-19,157.39
2003-05-20,157.74
2003-05-21,157.96
2003-05-22,158.22
2003-05-23,158.54
2003-05-26,158.61
2003-05-27,158.34
2003-05-28,158.29
2003-05-29,158.98
2003-05-30,159.25
2003-05-31,159.27
2003-06-02,159.16
2003-06-03,159.73
2003-06-04,160.04
2003-06-05,160.46
2003-06-06,160.52
2003-06-09,161.03
2003-06-10,161.56
2003-06-11,161.75
2003-06-12,161.89
2003-06-13,162.23
2003-06-16,162.29
2003-06-17,162.15
2003-06-18,161.52
2003-06-19,161.32
2003-06-20,161.13
2003-06-23,161.28
2003-06-24,161.54
2003-06-25,161.67
2003-06-26,160.81
2003-06-27,160.53
2003-06-30,160.58
2003-07-01,160.53
2003-07-02,160.4
2003-07-03,159.95
2003-07-04,159.97
2003-07-07,159.73
2003-07-08,159.6
2003-07-09,159.67
2003-07-10,159.91
2003-07-11,160.02
2003-07-14,160.05
2003-07-15,159.51
2003-07-16,158.96
2003-07-17,158.87
2003-07-18,159.12
2003-07-21,158.77
2003-07-22,158.47
2003-07-23,158.91
2003-07-24,158.85
2003-07-25,158.77
2003-07-28,158.54
2003-07-29,158.0
2003-07-30,157.82
2003-07-31,157.52
2003-08-01,156.83
2003-08-04,156.63
2003-08-05,156.41
2003-08-06,156.4
2003-08-07,156.68
2003-08-08,157.27
2003-08-11,157.27
2003-08-12,157.27
2003-08-13,156.7
2003-08-14,156.22
2003-08-15,156.58
2003-08-18,156.69
2003-08-19,157.04
2003-08-20,157.36
2003-08-21,157.22
2003-08-22,157.35
2003-08-25,157.25
2003-08-26,157.52
2003-08-27,157.37
2003-08-28,157.71
2003-08-29,157.83
2003-08-31,157.86
2003-09-01,157.89
2003-09-02,157.47
2003-09-03,157.54
2003-09-04,157.81
2003-09-05,158.41
2003-09-08,158.89
2003-09-09,159.01
2003-09-10,159.32
2003-09-11,159.42
2003-09-12,159.83
2003-09-15,159.96
2003-09-16,159.89
2003-09-17,160.17
2003-09-18,160.52
2003-09-19,160.78
2003-09-22,160.49
2003-09-23,160.42
2003-09-24,160.75
2003-09-25,161.12
2003-09-26,161.59
2003-09-29,161.59
2003-09-30,162.05
2003-10-01,162.33
2003-10-02,161.96
2003-10-03,161.37
2003-10-06,161.53
2003-10-07,161.27
2003-10-08,161.64
2003-10-09,161.66
2003-10-10,161.95
2003-10-13,162.02
2003-10-14,161.88
2003-10-15,161.73
2003-10-16,161.73
2003-10-17,161.65
2003-10-20,161.63
2003-10-21,161.8
2003-10-22,161.94
2003-10-23,161.9
2003-10-24,162.03
2003-10-27,162.0
2003-10-28,162.09
2003-10-29,162.19
2003-10-30,161.99
2003-10-31,162.35
2003-11-03,162.22
2003-11-04,162.56
2003-11-05,162.59
2003-11-06,162.27
2003-11-07,162.12
