DATE,BAMLHYH0A1BBTRIV
1998-05-04,115.79
1998-05-05,115.67
1998-05-06,115.87
1998-05-07,115.8
1998-05-08,115.72
1998-05-11,115.52
1998-05-12,115.8
1998-05-13,115.91
1998-05-14,115.84
1998-05-15,115.89
1998-05-18,116.07
1998-05-19,116.03
1998-05-20,116.17
1998-05-21,116.06
1998-05-22,116.14
1998-05-25,116.22
1998-05-26,116.41
1998-05-27,116.46
1998-05-28,116.57
1998-05-29,116.59
1998-05-31,116.64
1998-06-01,116.78
1998-06-02,116.67
1998-06-03,116.66
1998-06-04,116.62
1998-06-05,116.69
1998-06-08,116.79
1998-06-09,116.79
1998-06-10,117.05
1998-06-11,117.29
1998-06-12,117.31
1998-06-15,117.44
1998-06-16,117.18
1998-06-17,116.89
1998-06-18,117.04
1998-06-19,117.15
1998-06-22,117.23
1998-06-23,117.27
1998-06-24,117.35
1998-06-25,117.37
1998-06-26,117.46
1998-06-29,117.48
1998-06-30,117.51
1998-07-01,117.65
1998-07-02,117.75
1998-07-03,117.78
1998-07-06,117.93
1998-07-07,117.93
1998-07-08,117.89
1998-07-09,118.03
1998-07-10,118.04
1998-07-13,117.93
1998-07-14,117.89
1998-07-15,118.02
1998-07-16,118.0
1998-07-17,117.98
1998-07-20,118.17
1998-07-21,118.31
1998-07-22,118.31
1998-07-23,118.39
1998-07-24,118.36
1998-07-27,118.32
1998-07-28,118.33
1998-07-29,118.15
1998-07-30,118.21
1998-07-31,118.19
1998-08-03,118.38
1998-08-04,118.4
1998-08-05,118.41
1998-08-06,118.34
1998-08-07,118.44
1998-08-10,118.48
1998-08-11,118.05
1998-08-12,117.99
1998-08-13,117.85
1998-08-14,118.03
1998-08-17,117.93
1998-08-18,117.66
1998-08-19,117.66
1998-08-20,117.77
1998-08-21,117.65
1998-08-24,117.53
1998-08-25,117.52
1998-08-26,117.41
1998-08-27,116.75
1998-08-28,116.01
1998-08-31,115.49
1998-09-01,115.24
1998-09-02,114.87
1998-09-03,115.06
1998-09-04,115.22
1998-09-07,115.3
1998-09-08,115.4
1998-09-09,115.65
1998-09-10,116.1
1998-09-11,115.61
1998-09-14,115.42
1998-09-15,115.35
1998-09-16,115.49
1998-09-17,116.08
1998-09-18,116.31
1998-09-21,116.43
1998-09-22,116.33
1998-09-23,116.69
1998-09-24,116.96
1998-09-25,117.12
1998-09-28,117.19
1998-09-29,117.16
1998-09-30,117.73
1998-10-01,118.07
1998-10-02,118.0
1998-10-05,118.37
1998-10-06,118.11
1998-10-07,117.67
1998-10-08,116.29
1998-10-09,115.34
1998-10-12,115.48
1998-10-13,115.54
1998-10-14,115.55
1998-10-15,114.96
1998-10-16,115.38
1998-10-19,115.33
1998-10-20,115.44
1998-10-21,115.44
1998-10-22,115.44
1998-10-23,115.49
1998-10-26,115.7
1998-10-27,116.1
1998-10-28,116.18
1998-10-29,116.38
1998-10-30,116.12
1998-10-31,116.14
1998-11-02,115.85
1998-11-03,116.13
1998-11-04,115.91
1998-11-05,116.05
1998-11-06,115.79
1998-11-09,116.41
1998-11-10,116.68
1998-11-11,116.9
1998-11-12,117.17
1998-11-13,117.16
1998-11-16,117.32
1998-11-17,117.38
1998-11-18,117.61
1998-11-19,117.74
1998-11-20,117.97
1998-11-23,118.08
1998-11-24,118.34
1998-11-25,118.53
1998-11-26,118.56
1998-11-27,118.64
1998-11-30,119.17
1998-12-01,119.39
1998-12-02,119.69
1998-12-03,119.86
1998-12-04,119.6
1998-12-07,119.46
1998-12-08,119.74
1998-12-09,119.83
1998-12-10,120.04
1998-12-11,119.81
1998-12-14,119.96
1998-12-15,119.78
1998-12-16,119.82
1998-12-17,119.85
1998-12-18,119.88
1998-12-21,119.73
1998-12-22,119.57
1998-12-23,119.33
1998-12-24,119.24
1998-12-28,119.51
1998-12-29,119.78
1998-12-30,119.94
1998-12-31,119.97
1999-01-04,120.0
1999-01-05,119.9
1999-01-06,120.09
1999-01-07,119.94
1999-01-08,119.83
1999-01-11,119.76
1999-01-12,120.02
1999-01-13,119.81
1999-01-14,120.07
1999-01-15,119.82
1999-01-18,119.9
1999-01-19,120.01
1999-01-20,120.18
1999-01-21,120.38
1999-01-22,120.48
1999-01-25,120.48
1999-01-26,120.45
1999-01-27,120.57
1999-01-28,120.69
1999-01-29,120.8
1999-01-31,120.85
1999-02-01,120.65
1999-02-02,120.6
1999-02-03,120.61
1999-02-04,120.52
1999-02-05,120.49
1999-02-08,120.56
1999-02-09,120.68
1999-02-10,120.74
1999-02-11,120.84
1999-02-12,120.36
1999-02-15,120.44
1999-02-16,120.62
1999-02-17,120.83
1999-02-18,120.75
1999-02-19,120.71
1999-02-22,120.91
1999-02-23,120.69
1999-02-24,120.46
1999-02-25,120.02
1999-02-26,119.91
1999-02-28,119.96
1999-03-01,119.58
1999-03-02,119.69
1999-03-03,119.51
1999-03-04,119.46
1999-03-05,119.72
1999-03-08,119.79
1999-03-09,120.2
1999-03-10,120.19
1999-03-11,120.25
1999-03-12,120.43
1999-03-15,120.57
1999-03-16,120.82
1999-03-17,120.88
1999-03-18,120.97
1999-03-19,120.97
1999-03-22,120.95
1999-03-23,121.07
1999-03-24,121.17
1999-03-25,121.02
1999-03-26,121.07
1999-03-29,121.04
1999-03-30,121.27
1999-03-31,121.25
1999-04-01,121.12
1999-04-02,121.44
1999-04-05,121.5
1999-04-06,121.78
1999-04-07,121.85
1999-04-08,122.31
1999-04-09,122.36
1999-04-12,122.54
1999-04-13,122.47
1999-04-14,122.51
1999-04-15,122.49
1999-04-16,122.36
1999-04-19,122.72
1999-04-20,122.75
1999-04-21,122.76
1999-04-22,122.51
1999-04-23,122.59
1999-04-26,122.76
1999-04-27,122.9
1999-04-28,122.81
1999-04-29,123.05
1999-04-30,122.63
1999-05-03,122.71
1999-05-04,122.61
1999-05-05,122.7
1999-05-06,122.38
1999-05-07,122.31
1999-05-10,122.42
1999-05-11,122.22
1999-05-12,122.19
1999-05-13,122.59
1999-05-14,121.8
1999-05-17,121.71
1999-05-18,121.68
1999-05-19,121.79
1999-05-20,121.67
1999-05-21,121.81
1999-05-24,121.86
1999-05-25,121.8
1999-05-26,121.54
1999-05-27,121.38
1999-05-28,121.31
1999-05-31,121.39
1999-06-01,120.84
1999-06-02,120.75
1999-06-03,120.69
1999-06-04,120.68
1999-06-07,120.8
1999-06-08,120.74
1999-06-09,120.65
1999-06-10,120.39
1999-06-11,120.06
1999-06-14,120.29
1999-06-15,120.29
1999-06-16,120.48
1999-06-17,121.03
1999-06-18,120.9
1999-06-21,120.8
1999-06-22,120.74
1999-06-23,120.56
1999-06-24,120.39
1999-06-25,120.44
1999-06-28,120.64
1999-06-29,120.75
1999-06-30,121.17
1999-07-01,121.17
1999-07-02,121.28
1999-07-05,121.36
1999-07-06,121.28
1999-07-07,121.18
1999-07-08,121.37
1999-07-09,121.39
1999-07-12,121.85
1999-07-13,122.0
1999-07-14,121.87
1999-07-15,122.0
1999-07-16,122.17
1999-07-19,122.32
1999-07-20,122.38
1999-07-21,122.38
1999-07-22,122.0
1999-07-23,121.74
1999-07-26,121.74
1999-07-27,121.77
1999-07-28,121.74
1999-07-29,121.43
1999-07-30,121.29
1999-07-31,121.32
1999-08-02,121.2
1999-08-03,120.9
1999-08-04,120.84
1999-08-05,121.08
1999-08-06,120.41
1999-08-09,120.11
1999-08-10,119.95
1999-08-11,120.07
1999-08-12,120.18
1999-08-13,120.61
1999-08-16,120.7
1999-08-17,121.06
1999-08-18,120.92
1999-08-19,120.83
1999-08-20,120.93
1999-08-23,121.04
1999-08-24,121.15
1999-08-25,121.59
1999-08-26,121.52
1999-08-27,121.13
1999-08-30,120.78
1999-08-31,120.61
1999-09-01,120.61
1999-09-02,120.45
1999-09-03,120.87
1999-09-06,120.95
1999-09-07,120.83
1999-09-08,120.83
1999-09-09,120.69
1999-09-10,120.84
1999-09-13,120.89
1999-09-14,120.72
1999-09-15,120.78
1999-09-16,120.87
1999-09-17,121.0
1999-09-20,120.96
1999-09-21,120.91
1999-09-22,120.96
1999-09-23,121.16
1999-09-24,121.34
1999-09-27,121.12
1999-09-28,121.1
1999-09-29,120.94
1999-09-30,121.16
1999-10-01,120.76
1999-10-04,121.0
1999-10-05,120.67
1999-10-06,120.65
1999-10-07,120.67
1999-10-08,120.77
1999-10-11,120.83
1999-10-12,120.69
1999-10-13,120.39
1999-10-14,120.17
1999-10-15,120.38
1999-10-18,120.3
1999-10-19,120.19
1999-10-20,120.25
1999-10-21,120.07
1999-10-22,119.94
1999-10-25,119.97
1999-10-26,119.9
1999-10-27,120.01
1999-10-28,120.21
1999-10-29,120.57
1999-10-31,120.63
1999-11-01,120.6
1999-11-02,120.7
1999-11-03,120.92
1999-11-04,121.21
1999-11-05,121.48
1999-11-08,121.57
1999-11-09,121.61
1999-11-10,121.4
1999-11-11,121.37
1999-11-12,121.49
1999-11-15,121.56
1999-11-16,121.54
1999-11-17,121.38
1999-11-18,121.3
1999-11-19,121.35
1999-11-22,121.48
1999-11-23,121.52
1999-11-24,121.56
1999-11-25,121.59
1999-11-26,121.53
1999-11-29,121.48
1999-11-30,121.62
1999-12-01,121.59
1999-12-02,121.58
1999-12-03,121.9
1999-12-06,122.09
1999-12-07,122.35
1999-12-08,122.38
1999-12-09,122.49
1999-12-10,122.88
1999-12-13,122.91
1999-12-14,122.64
1999-12-15,122.59
1999-12-16,122.38
1999-12-17,122.37
1999-12-20,122.3
1999-12-21,122.27
1999-12-22,122.27
1999-12-23,122.25
1999-12-24,122.28
1999-12-27,122.42
1999-12-28,122.37
1999-12-29,122.44
1999-12-30,122.55
1999-12-31,122.31
2000-01-03,121.9
2000-01-04,121.93
2000-01-05,121.54
2000-01-06,121.71
2000-01-07,121.83
2000-01-10,121.78
2000-01-11,121.55
2000-01-12,121.46
2000-01-13,121.66
2000-01-14,121.5
2000-01-17,121.58
2000-01-18,121.27
2000-01-19,121.32
2000-01-20,121.24
2000-01-21,121.35
2000-01-24,121.57
2000-01-25,121.66
2000-01-26,121.63
2000-01-27,121.64
2000-01-28,121.76
2000-01-31,121.73
2000-02-01,121.8
2000-02-02,121.71
2000-02-03,121.94
2000-02-04,122.07
2000-02-07,121.65
2000-02-08,122.07
2000-02-09,121.89
2000-02-10,121.76
2000-02-11,121.87
2000-02-14,122.01
2000-02-15,121.94
2000-02-16,121.91
2000-02-17,121.85
2000-02-18,122.02
2000-02-21,122.1
2000-02-22,122.35
2000-02-23,122.18
2000-02-24,122.43
2000-02-25,122.39
2000-02-28,122.21
2000-02-29,121.87
2000-03-01,122.01
2000-03-02,121.93
2000-03-03,122.01
2000-03-06,122.03
2000-03-07,122.14
2000-03-08,121.85
2000-03-09,121.95
2000-03-10,121.88
2000-03-13,122.02
2000-03-14,122.19
2000-03-15,121.83
2000-03-16,121.53
2000-03-17,121.67
2000-03-20,121.76
2000-03-21,121.81
2000-03-22,121.73
2000-03-23,121.84
2000-03-24,121.49
2000-03-27,121.55
2000-03-28,121.47
2000-03-29,121.19
2000-03-30,121.24
2000-03-31,121.22
2000-04-03,121.34
2000-04-04,121.55
2000-04-05,121.53
2000-04-06,121.56
2000-04-07,121.87
2000-04-10,122.26
2000-04-11,122.0
2000-04-12,121.8
2000-04-13,121.85
2000-04-14,121.93
2000-04-17,121.72
2000-04-18,121.41
2000-04-19,121.61
2000-04-20,121.64
2000-04-24,121.66
2000-04-25,121.39
2000-04-26,121.35
2000-04-27,120.87
2000-04-28,120.66
2000-04-30,120.72
2000-05-01,120.57
2000-05-02,120.51
2000-05-03,120.15
2000-05-04,119.97
2000-05-05,119.38
2000-05-08,119.18
2000-05-09,119.18
2000-05-10,119.44
2000-05-11,119.7
2000-05-12,119.56
2000-05-15,119.77
2000-05-16,119.93
2000-05-17,119.56
2000-05-18,119.31
2000-05-19,119.38
2000-05-22,119.69
2000-05-23,119.45
2000-05-24,119.41
2000-05-25,119.24
2000-05-26,119.29
2000-05-29,119.38
2000-05-30,119.38
2000-05-31,119.62
2000-06-01,119.88
2000-06-02,120.16
2000-06-05,120.34
2000-06-06,120.41
2000-06-07,120.62
2000-06-08,120.7
2000-06-09,120.81
2000-06-12,121.07
2000-06-13,121.07
2000-06-14,121.26
2000-06-15,121.38
2000-06-16,121.64
2000-06-19,121.71
2000-06-20,121.77
2000-06-21,121.59
2000-06-22,121.56
2000-06-23,121.61
2000-06-26,121.82
2000-06-27,121.87
2000-06-28,121.98
2000-06-29,122.35
2000-06-30,122.31
2000-07-03,122.38
2000-07-04,122.41
2000-07-05,122.51
2000-07-06,122.43
2000-07-07,122.6
2000-07-10,122.76
2000-07-11,122.8
2000-07-12,122.6
2000-07-13,122.96
2000-07-14,122.89
2000-07-17,122.8
2000-07-18,122.99
2000-07-19,122.95
2000-07-20,123.24
2000-07-21,123.32
2000-07-24,123.37
2000-07-25,123.5
2000-07-26,123.54
2000-07-27,123.62
2000-07-28,123.58
2000-07-31,123.72
2000-08-01,123.57
2000-08-02,123.81
2000-08-03,123.92
2000-08-04,124.11
2000-08-07,124.14
2000-08-08,124.26
2000-08-09,124.36
2000-08-10,124.53
2000-08-11,124.51
2000-08-14,124.68
2000-08-15,124.58
2000-08-16,124.52
2000-08-17,124.53
2000-08-18,124.66
2000-08-21,124.74
2000-08-22,124.92
2000-08-23,125.05
2000-08-24,125.04
2000-08-25,125.17
2000-08-28,125.24
2000-08-29,125.22
2000-08-30,125.35
2000-08-31,125.56
2000-09-01,125.7
2000-09-04,125.79
2000-09-05,125.92
2000-09-06,125.98
2000-09-07,125.94
2000-09-08,126.04
2000-09-11,126.02
2000-09-12,125.9
2000-09-13,126.08
2000-09-14,126.03
2000-09-15,125.87
2000-09-18,125.82
2000-09-19,125.83
2000-09-20,125.41
2000-09-21,125.35
2000-09-22,125.5
2000-09-25,125.4
2000-09-26,125.34
2000-09-27,124.83
2000-09-28,124.83
2000-09-29,124.9
2000-09-30,124.93
2000-10-02,124.76
2000-10-03,124.72
2000-10-04,124.47
2000-10-05,124.18
2000-10-06,124.1
2000-10-09,124.15
2000-10-10,123.95
2000-10-11,123.4
2000-10-12,123.37
2000-10-13,123.11
2000-10-16,123.17
2000-10-17,123.02
2000-10-18,122.62
2000-10-19,122.61
2000-10-20,122.77
2000-10-23,123.08
2000-10-24,123.15
2000-10-25,122.96
2000-10-26,122.68
2000-10-27,122.61
2000-10-30,122.65
2000-10-31,122.55
2000-11-01,122.62
2000-11-02,122.57
2000-11-03,122.65
2000-11-06,122.71
2000-11-07,122.66
2000-11-08,122.85
2000-11-09,123.03
2000-11-10,123.02
2000-11-13,123.16
2000-11-14,123.23
2000-11-15,123.12
2000-11-16,122.98
2000-11-17,122.79
2000-11-20,122.83
2000-11-21,122.66
2000-11-22,122.69
2000-11-23,122.72
2000-11-24,122.67
2000-11-27,122.68
2000-11-28,122.71
2000-11-29,122.58
2000-11-30,122.64
2000-12-01,122.48
2000-12-04,122.44
2000-12-05,122.7
2000-12-06,123.09
2000-12-07,123.1
2000-12-08,123.16
2000-12-11,123.25
2000-12-12,123.47
2000-12-13,123.78
2000-12-14,123.99
2000-12-15,124.1
2000-12-18,124.32
2000-12-19,124.33
2000-12-20,124.55
2000-12-21,124.85
2000-12-22,124.93
2000-12-26,124.98
2000-12-27,124.87
2000-12-28,124.87
2000-12-29,124.97
2000-12-31,125.03
2001-01-02,125.47
2001-01-03,125.4
2001-01-04,125.96
2001-01-05,126.35
2001-01-08,126.83
2001-01-09,127.18
2001-01-10,127.11
2001-01-11,127.37
2001-01-12,127.39
2001-01-15,127.48
2001-01-16,127.6
2001-01-17,127.93
2001-01-18,128.32
2001-01-19,128.32
2001-01-22,128.59
2001-01-23,128.5
2001-01-24,128.48
2001-01-25,128.74
2001-01-26,128.78
2001-01-29,128.89
2001-01-30,129.23
2001-01-31,129.76
2001-02-01,130.11
2001-02-02,130.17
2001-02-05,130.41
2001-02-06,130.36
2001-02-07,130.37
2001-02-08,130.48
2001-02-09,130.97
2001-02-12,131.03
2001-02-13,131.05
2001-02-14,131.04
2001-02-15,131.0
2001-02-16,131.19
2001-02-19,131.28
2001-02-20,131.16
2001-02-21,131.03
2001-02-22,131.04
2001-02-23,131.1
2001-02-26,131.24
2001-02-27,131.5
2001-02-28,131.72
2001-03-01,131.94
2001-03-02,131.86
2001-03-05,131.94
2001-03-06,132.1
2001-03-07,132.42
2001-03-08,132.72
2001-03-09,132.76
2001-03-12,132.88
2001-03-13,132.84
2001-03-14,132.91
2001-03-15,133.01
2001-03-16,133.08
2001-03-19,132.89
2001-03-20,133.02
2001-03-21,132.91
2001-03-22,132.9
2001-03-23,132.82
2001-03-26,132.98
2001-03-27,132.74
2001-03-28,132.78
2001-03-29,132.71
2001-03-30,132.94
2001-03-31,132.94
2001-04-02,132.77
2001-04-03,132.53
2001-04-04,132.56
2001-04-05,132.52
2001-04-06,132.77
2001-04-09,132.54
2001-04-10,132.28
2001-04-11,132.29
2001-04-12,132.24
2001-04-16,132.13
2001-04-17,132.29
2001-04-18,132.63
2001-04-19,132.71
2001-04-20,132.84
2001-04-23,133.28
2001-04-24,133.37
2001-04-25,133.35
2001-04-26,133.57
2001-04-27,133.48
2001-04-30,133.74
2001-05-01,134.04
2001-05-02,134.49
2001-05-03,134.93
2001-05-04,135.13
2001-05-07,135.33
2001-05-08,135.4
2001-05-09,135.55
2001-05-10,135.31
2001-05-11,135.0
2001-05-14,135.27
2001-05-15,135.45
2001-05-16,135.59
2001-05-17,135.75
2001-05-18,135.9
2001-05-21,136.01
2001-05-22,136.08
2001-05-23,136.23
2001-05-24,136.09
2001-05-25,136.17
2001-05-28,136.26
2001-05-29,136.34
2001-05-30,136.19
2001-05-31,136.46
2001-06-01,136.53
2001-06-04,136.62
2001-06-05,136.78
2001-06-06,136.94
2001-06-07,136.84
2001-06-08,136.72
2001-06-11,136.97
2001-06-12,137.06
2001-06-13,136.95
2001-06-14,136.71
2001-06-15,136.55
2001-06-18,136.07
2001-06-19,135.82
2001-06-20,135.72
2001-06-21,135.94
2001-06-22,136.11
2001-06-25,136.2
2001-06-26,135.88
2001-06-27,135.93
2001-06-28,135.73
2001-06-29,135.64
2001-06-30,135.67
2001-07-02,135.95
2001-07-03,135.87
2001-07-04,135.91
2001-07-05,135.84
2001-07-06,136.02
2001-07-09,136.13
2001-07-10,136.19
2001-07-11,136.29
2001-07-12,136.5
2001-07-13,136.61
2001-07-16,136.96
2001-07-17,136.88
2001-07-18,137.08
2001-07-19,137.13
2001-07-20,137.13
2001-07-23,137.41
2001-07-24,137.36
2001-07-25,137.09
2001-07-26,137.34
2001-07-27,137.66
2001-07-30,137.91
2001-07-31,138.23
2001-08-01,138.26
2001-08-02,138.24
2001-08-03,138.21
2001-08-06,138.44
2001-08-07,138.64
2001-08-08,139.03
2001-08-09,139.01
2001-08-10,139.0
2001-08-13,139.13
2001-08-14,139.19
2001-08-15,139.19
2001-08-16,139.31
2001-08-17,139.5
2001-08-20,139.44
2001-08-21,139.51
2001-08-22,139.43
2001-08-23,139.59
2001-08-24,139.51
2001-08-27,139.49
2001-08-28,139.78
2001-08-29,139.97
2001-08-30,140.09
2001-08-31,140.07
2001-09-03,140.13
2001-09-04,139.87
2001-09-05,139.8
2001-09-06,139.88
2001-09-07,139.75
2001-09-10,139.84
2001-09-14,137.18
2001-09-17,135.86
2001-09-18,135.73
2001-09-19,135.49
2001-09-20,134.63
2001-09-21,133.96
2001-09-24,134.29
2001-09-25,134.41
2001-09-26,134.23
2001-09-27,134.03
2001-09-28,132.99
2001-09-30,133.06
2001-10-01,133.1
2001-10-02,133.28
2001-10-03,133.51
2001-10-04,132.82
2001-10-05,133.02
2001-10-08,133.2
2001-10-09,133.11
2001-10-10,133.53
2001-10-11,133.54
2001-10-12,134.05
2001-10-15,134.85
2001-10-16,135.15
2001-10-17,135.34
2001-10-18,135.43
2001-10-19,135.23
2001-10-22,135.55
2001-10-23,135.63
2001-10-24,135.82
2001-10-25,136.01
2001-10-26,136.09
2001-10-29,136.31
2001-10-30,136.4
2001-10-31,136.63
2001-11-01,136.69
2001-11-02,136.61
2001-11-05,136.82
2001-11-06,136.95
2001-11-07,137.22
2001-11-08,137.31
2001-11-09,137.59
