DATE,BAMLHYH0A2BTRIV
1997-12-19,112.75
1997-12-22,112.76
1997-12-23,112.66
1997-12-24,112.69
1997-12-26,112.75
1997-12-29,112.8
1997-12-30,112.82
1997-12-31,112.86
1998-01-02,112.9
1998-01-05,113.15
1998-01-06,113.29
1998-01-07,113.38
1998-01-08,113.53
1998-01-09,113.65
1998-01-12,113.72
1998-01-13,113.74
1998-01-14,113.88
1998-01-15,113.97
1998-01-16,114.09
1998-01-19,114.17
1998-01-20,114.18
1998-01-21,114.34
1998-01-22,114.42
1998-01-23,114.47
1998-01-26,114.59
1998-01-27,114.55
1998-01-28,114.59
1998-01-29,114.72
1998-01-30,114.8
1998-01-31,114.82
1998-02-02,114.92
1998-02-03,115.06
1998-02-04,115.16
1998-02-05,115.28
1998-02-06,115.33
1998-02-09,115.36
1998-02-10,115.41
1998-02-11,115.44
1998-02-12,115.47
1998-02-13,115.5
1998-02-16,115.58
1998-02-17,115.64
1998-02-18,115.67
1998-02-19,115.7
1998-02-20,115.7
1998-02-23,115.79
1998-02-24,115.66
1998-02-25,115.63
1998-02-26,115.65
1998-02-27,115.67
1998-02-28,115.7
1998-03-02,115.79
1998-03-03,115.67
1998-03-04,115.65
1998-03-05,115.58
1998-03-06,115.61
1998-03-09,115.73
1998-03-10,115.77
1998-03-11,115.86
1998-03-12,115.94
1998-03-13,116.01
1998-03-16,116.16
1998-03-17,116.22
1998-03-18,116.31
1998-03-19,116.42
1998-03-20,116.5
1998-03-23,116.63
1998-03-24,116.68
1998-03-25,116.75
1998-03-26,116.79
1998-03-27,116.85
1998-03-30,116.9
1998-03-31,116.91
1998-04-01,116.9
1998-04-02,116.94
1998-04-03,117.02
1998-04-06,117.15
1998-04-07,117.18
1998-04-08,117.23
1998-04-09,117.26
1998-04-13,117.29
1998-04-14,117.29
1998-04-15,117.3
1998-04-16,117.3
1998-04-17,117.33
1998-04-20,117.41
1998-04-21,117.4
1998-04-22,117.44
1998-04-23,117.45
1998-04-24,117.49
1998-04-27,117.04
1998-04-28,117.12
1998-04-29,117.06
1998-04-30,117.14
1998-05-01,117.17
1998-05-04,117.36
1998-05-05,117.41
1998-05-06,117.44
1998-05-07,117.43
1998-05-08,117.42
1998-05-11,117.39
1998-05-12,117.34
1998-05-13,117.33
1998-05-14,117.33
1998-05-15,117.34
1998-05-18,117.39
1998-05-19,117.39
1998-05-20,117.41
1998-05-21,117.44
1998-05-22,117.44
1998-05-25,117.52
1998-05-26,117.55
1998-05-27,117.58
1998-05-28,117.62
1998-05-29,117.64
1998-05-31,117.7
1998-06-01,117.94
1998-06-02,118.0
1998-06-03,118.02
1998-06-04,118.07
1998-06-05,118.1
1998-06-08,118.19
1998-06-09,118.23
1998-06-10,118.24
1998-06-11,118.27
1998-06-12,118.27
1998-06-15,118.21
1998-06-16,117.97
1998-06-17,117.93
1998-06-18,117.98
1998-06-19,118.01
1998-06-22,118.05
1998-06-23,118.04
1998-06-24,118.13
1998-06-25,118.18
1998-06-26,118.24
1998-06-29,118.34
1998-06-30,118.21
1998-07-01,118.24
1998-07-02,118.29
1998-07-03,118.32
1998-07-06,118.47
1998-07-07,118.57
1998-07-08,118.64
1998-07-09,118.66
1998-07-10,118.7
1998-07-13,118.79
1998-07-14,118.83
1998-07-15,118.95
1998-07-16,118.95
1998-07-17,118.97
1998-07-20,119.08
1998-07-21,119.16
1998-07-22,119.22
1998-07-23,119.15
1998-07-24,119.19
1998-07-27,119.24
1998-07-28,119.22
1998-07-29,119.2
1998-07-30,119.2
1998-07-31,118.99
1998-08-03,118.9
1998-08-04,118.64
1998-08-05,118.57
1998-08-06,118.56
1998-08-07,118.52
1998-08-10,118.47
1998-08-11,117.77
1998-08-12,117.75
1998-08-13,117.48
1998-08-14,117.49
1998-08-17,117.18
1998-08-18,117.18
1998-08-19,117.11
1998-08-20,117.04
1998-08-21,116.31
1998-08-24,116.1
1998-08-25,115.93
1998-08-26,115.34
1998-08-27,113.46
1998-08-28,112.76
1998-08-31,111.73
1998-09-01,111.04
1998-09-02,111.09
1998-09-03,111.07
1998-09-04,111.07
1998-09-07,111.15
1998-09-08,111.42
1998-09-09,111.52
1998-09-10,110.66
1998-09-11,110.32
1998-09-14,110.45
1998-09-15,110.33
1998-09-16,110.22
1998-09-17,110.18
1998-09-18,110.09
1998-09-21,110.2
1998-09-22,110.57
1998-09-23,111.04
1998-09-24,111.25
1998-09-25,111.29
1998-09-28,111.43
1998-09-29,111.35
1998-09-30,111.39
1998-10-01,111.26
1998-10-02,110.92
1998-10-05,110.27
1998-10-06,110.02
1998-10-07,109.64
1998-10-08,107.53
1998-10-09,106.91
1998-10-12,107.03
1998-10-13,107.07
1998-10-14,106.4
1998-10-15,106.17
1998-10-16,106.03
1998-10-19,106.06
1998-10-20,106.42
1998-10-21,106.72
1998-10-22,107.03
1998-10-23,107.48
1998-10-26,107.68
1998-10-27,107.96
1998-10-28,107.89
1998-10-29,108.14
1998-10-30,108.68
1998-10-31,108.71
1998-11-02,109.14
1998-11-03,109.55
1998-11-04,109.95
1998-11-05,110.23
1998-11-06,110.49
1998-11-09,110.97
1998-11-10,111.43
1998-11-11,111.68
1998-11-12,112.08
1998-11-13,112.56
1998-11-16,113.09
1998-11-17,113.55
1998-11-18,113.75
1998-11-19,114.04
1998-11-20,114.26
1998-11-23,114.57
1998-11-24,114.96
1998-11-25,115.22
1998-11-26,115.25
1998-11-27,115.34
1998-11-30,115.61
1998-12-01,115.68
1998-12-02,115.56
1998-12-03,115.42
1998-12-04,115.46
1998-12-07,115.42
1998-12-08,115.36
1998-12-09,115.21
1998-12-10,115.08
1998-12-11,114.97
1998-12-14,114.79
1998-12-15,114.65
1998-12-16,114.59
1998-12-17,114.57
1998-12-18,114.53
1998-12-21,114.61
1998-12-22,114.66
1998-12-23,114.69
1998-12-24,114.71
1998-12-28,114.97
1998-12-29,115.0
1998-12-30,114.93
1998-12-31,114.92
1999-01-04,115.15
1999-01-05,115.24
1999-01-06,115.36
1999-01-07,115.42
1999-01-08,115.71
1999-01-11,115.75
1999-01-12,115.77
1999-01-13,115.41
1999-01-14,115.42
1999-01-15,115.38
1999-01-18,115.46
1999-01-19,115.63
1999-01-20,115.83
1999-01-21,115.78
1999-01-22,115.72
1999-01-25,116.06
1999-01-26,116.16
1999-01-27,116.36
1999-01-28,116.47
1999-01-29,116.46
1999-01-31,116.52
1999-02-01,116.49
1999-02-02,116.36
1999-02-03,116.41
1999-02-04,116.43
1999-02-05,116.47
1999-02-08,116.7
1999-02-09,116.71
1999-02-10,116.65
1999-02-11,116.66
1999-02-12,116.67
1999-02-15,116.75
1999-02-16,116.7
1999-02-17,116.54
1999-02-18,116.54
1999-02-19,116.39
1999-02-22,116.23
1999-02-23,116.19
1999-02-24,116.17
1999-02-25,115.72
1999-02-26,115.76
1999-02-28,115.81
1999-03-01,115.62
1999-03-02,115.47
1999-03-03,115.29
1999-03-04,115.25
1999-03-05,115.25
1999-03-08,115.33
1999-03-09,115.52
1999-03-10,115.79
1999-03-11,116.03
1999-03-12,116.18
1999-03-15,116.3
1999-03-16,116.36
1999-03-17,116.49
1999-03-18,116.59
1999-03-19,116.77
1999-03-22,116.84
1999-03-23,116.71
1999-03-24,116.87
1999-03-25,116.94
1999-03-26,116.99
1999-03-29,117.05
1999-03-30,116.99
1999-03-31,117.16
1999-04-01,117.17
1999-04-02,117.2
1999-04-05,117.38
1999-04-06,117.67
1999-04-07,118.03
1999-04-08,118.13
1999-04-09,118.25
1999-04-12,118.42
1999-04-13,118.52
1999-04-14,118.66
1999-04-15,118.77
1999-04-16,118.78
1999-04-19,118.82
1999-04-20,118.78
1999-04-21,118.81
1999-04-22,118.9
1999-04-23,118.94
1999-04-26,118.97
1999-04-27,119.03
1999-04-28,119.05
1999-04-29,119.04
1999-04-30,119.16
1999-05-03,119.3
1999-05-04,119.34
1999-05-05,119.08
1999-05-06,119.08
1999-05-07,119.0
1999-05-10,118.84
1999-05-11,118.86
1999-05-12,118.75
1999-05-13,118.83
1999-05-14,118.6
1999-05-17,118.52
1999-05-18,118.53
1999-05-19,118.32
1999-05-20,118.24
1999-05-21,118.31
1999-05-24,118.18
1999-05-25,118.16
1999-05-26,118.0
1999-05-27,117.9
1999-05-28,117.85
1999-05-31,117.94
1999-06-01,117.69
1999-06-02,117.58
1999-06-03,117.41
1999-06-04,117.39
1999-06-07,117.42
1999-06-08,117.62
1999-06-09,117.62
1999-06-10,117.36
1999-06-11,117.34
1999-06-14,117.28
1999-06-15,117.31
1999-06-16,117.3
1999-06-17,117.39
1999-06-18,117.43
1999-06-21,117.52
1999-06-22,117.54
1999-06-23,117.49
1999-06-24,117.46
1999-06-25,117.48
1999-06-28,117.53
1999-06-29,117.54
1999-06-30,117.7
1999-07-01,117.88
1999-07-02,117.94
1999-07-05,118.03
1999-07-06,118.1
1999-07-07,118.17
1999-07-08,118.28
1999-07-09,118.34
1999-07-12,118.41
1999-07-13,118.55
1999-07-14,118.64
1999-07-15,118.83
1999-07-16,118.98
1999-07-19,119.08
1999-07-20,119.11
1999-07-21,119.09
1999-07-22,118.8
1999-07-23,118.54
1999-07-26,118.5
1999-07-27,118.23
1999-07-28,118.19
1999-07-29,118.06
1999-07-30,117.88
1999-07-31,117.91
1999-08-02,117.78
1999-08-03,117.45
1999-08-04,117.09
1999-08-05,117.01
1999-08-06,116.79
1999-08-09,116.86
1999-08-10,116.52
1999-08-11,116.44
1999-08-12,116.61
1999-08-13,116.79
1999-08-16,116.88
1999-08-17,116.96
1999-08-18,116.99
1999-08-19,116.91
1999-08-20,116.9
1999-08-23,116.92
1999-08-24,116.94
1999-08-25,116.99
1999-08-26,117.05
1999-08-27,117.13
1999-08-30,116.97
1999-08-31,116.73
1999-09-01,116.63
1999-09-02,116.57
1999-09-03,116.59
1999-09-06,116.67
1999-09-07,116.74
1999-09-08,116.63
1999-09-09,116.64
1999-09-10,116.63
1999-09-13,116.69
1999-09-14,116.58
1999-09-15,116.65
1999-09-16,116.7
1999-09-17,116.7
1999-09-20,116.63
1999-09-21,116.35
1999-09-22,116.32
1999-09-23,116.32
1999-09-24,116.31
1999-09-27,116.28
1999-09-28,116.21
1999-09-29,116.21
1999-09-30,116.09
1999-10-01,115.53
1999-10-04,115.72
1999-10-05,115.65
1999-10-06,115.69
1999-10-07,115.89
1999-10-08,116.06
1999-10-11,116.15
1999-10-12,116.12
1999-10-13,116.04
1999-10-14,116.01
1999-10-15,115.92
1999-10-18,115.9
1999-10-19,115.91
1999-10-20,115.91
1999-10-21,115.86
1999-10-22,115.94
1999-10-25,116.02
1999-10-26,115.95
1999-10-27,115.67
1999-10-28,115.64
1999-10-29,115.64
1999-10-31,115.7
1999-11-01,115.74
1999-11-02,115.8
1999-11-03,116.05
1999-11-04,116.25
1999-11-05,116.37
1999-11-08,116.51
1999-11-09,116.62
1999-11-10,116.6
1999-11-11,116.58
1999-11-12,116.62
1999-11-15,116.67
1999-11-16,116.65
1999-11-17,116.57
1999-11-18,116.76
1999-11-19,116.85
1999-11-22,116.93
1999-11-23,117.03
1999-11-24,117.13
1999-11-25,117.16
1999-11-26,117.19
1999-11-29,117.34
1999-11-30,117.39
1999-12-01,117.43
1999-12-02,117.5
1999-12-03,117.65
1999-12-06,117.84
1999-12-07,118.02
1999-12-08,118.23
1999-12-09,118.39
1999-12-10,118.5
1999-12-13,118.56
1999-12-14,118.49
1999-12-15,118.42
1999-12-16,118.34
1999-12-17,118.35
1999-12-20,118.37
1999-12-21,118.37
1999-12-22,118.39
1999-12-23,118.4
1999-12-24,118.42
1999-12-27,118.45
1999-12-28,118.45
1999-12-29,118.42
1999-12-30,118.52
1999-12-31,118.44
2000-01-03,118.31
2000-01-04,117.94
2000-01-05,117.74
2000-01-06,117.71
2000-01-07,117.69
2000-01-10,117.83
2000-01-11,117.8
2000-01-12,117.77
2000-01-13,117.74
2000-01-14,117.78
2000-01-17,117.85
2000-01-18,117.8
2000-01-19,117.84
2000-01-20,117.85
2000-01-21,117.98
2000-01-24,118.02
2000-01-25,118.04
2000-01-26,117.95
2000-01-27,117.98
2000-01-28,117.94
2000-01-31,117.87
2000-02-01,117.87
2000-02-02,117.89
2000-02-03,117.86
2000-02-04,117.87
2000-02-07,117.96
2000-02-08,117.92
2000-02-09,118.01
2000-02-10,118.0
2000-02-11,117.93
2000-02-14,118.02
2000-02-15,118.05
2000-02-16,118.03
2000-02-17,118.0
2000-02-18,117.99
2000-02-21,118.07
2000-02-22,118.1
2000-02-23,118.11
2000-02-24,118.08
2000-02-25,118.0
2000-02-28,118.04
2000-02-29,117.87
2000-03-01,117.81
2000-03-02,117.72
2000-03-03,117.77
2000-03-06,117.85
2000-03-07,117.85
2000-03-08,117.74
2000-03-09,117.77
2000-03-10,117.59
2000-03-13,117.54
2000-03-14,117.33
2000-03-15,117.03
2000-03-16,117.08
2000-03-17,117.2
2000-03-20,117.31
2000-03-21,117.22
2000-03-22,117.05
2000-03-23,116.95
2000-03-24,116.84
2000-03-27,116.83
2000-03-28,116.47
2000-03-29,115.93
2000-03-30,115.4
2000-03-31,115.29
2000-04-03,115.29
2000-04-04,115.12
2000-04-05,114.99
2000-04-06,115.22
2000-04-07,115.37
2000-04-10,115.5
2000-04-11,115.47
2000-04-12,115.41
2000-04-13,115.33
2000-04-14,115.32
2000-04-17,115.31
2000-04-18,115.36
2000-04-19,115.58
2000-04-20,115.67
2000-04-24,115.65
2000-04-25,115.67
2000-04-26,115.73
2000-04-27,115.72
2000-04-28,115.72
2000-04-30,115.78
2000-05-01,115.79
2000-05-02,115.91
2000-05-03,115.85
2000-05-04,115.87
2000-05-05,115.86
2000-05-08,115.82
2000-05-09,115.82
2000-05-10,115.61
2000-05-11,115.63
2000-05-12,115.5
2000-05-15,115.6
2000-05-16,115.48
2000-05-17,115.42
2000-05-18,115.22
2000-05-19,114.84
2000-05-22,114.88
2000-05-23,114.54
2000-05-24,114.3
2000-05-25,114.13
2000-05-26,114.17
2000-05-29,114.25
2000-05-30,114.35
2000-05-31,114.45
2000-06-01,114.47
2000-06-02,114.91
2000-06-05,115.05
2000-06-06,115.09
2000-06-07,115.31
2000-06-08,115.39
2000-06-09,115.81
2000-06-12,116.01
2000-06-13,116.04
2000-06-14,116.1
2000-06-15,116.29
2000-06-16,116.24
2000-06-19,116.31
2000-06-20,116.42
2000-06-21,116.42
2000-06-22,116.59
2000-06-23,116.66
2000-06-26,116.86
2000-06-27,116.94
2000-06-28,116.89
2000-06-29,116.82
2000-06-30,116.91
2000-07-03,117.02
2000-07-04,117.05
2000-07-05,117.12
2000-07-06,117.02
2000-07-07,117.09
2000-07-10,117.21
2000-07-11,117.22
2000-07-12,117.08
2000-07-13,117.17
2000-07-14,117.34
2000-07-17,117.51
2000-07-18,117.56
2000-07-19,117.59
2000-07-20,117.74
2000-07-21,117.8
2000-07-24,117.85
2000-07-25,117.77
2000-07-26,117.68
2000-07-27,117.59
2000-07-28,117.19
2000-07-31,116.99
2000-08-01,116.76
2000-08-02,116.83
2000-08-03,116.99
2000-08-04,117.03
2000-08-07,117.19
2000-08-08,117.46
2000-08-09,117.52
2000-08-10,117.48
2000-08-11,117.3
2000-08-14,116.87
2000-08-15,116.72
2000-08-16,116.6
2000-08-17,116.54
2000-08-18,116.47
2000-08-21,116.56
2000-08-22,116.66
2000-08-23,116.67
2000-08-24,116.78
2000-08-25,116.95
2000-08-28,117.38
2000-08-29,117.58
2000-08-30,117.82
2000-08-31,118.1
2000-09-01,118.1
2000-09-04,118.18
2000-09-05,118.89
2000-09-06,119.04
2000-09-07,119.37
2000-09-08,119.46
2000-09-11,119.41
2000-09-12,119.41
2000-09-13,119.36
2000-09-14,119.45
2000-09-15,119.44
2000-09-18,118.99
2000-09-19,118.12
2000-09-20,117.9
2000-09-21,117.78
2000-09-22,117.58
2000-09-25,117.86
2000-09-26,117.68
2000-09-27,117.04
2000-09-28,116.69
2000-09-29,116.73
2000-09-30,116.76
2000-10-02,116.75
2000-10-03,116.7
2000-10-04,116.51
2000-10-05,116.49
2000-10-06,116.49
2000-10-09,116.58
2000-10-10,116.38
2000-10-11,115.58
2000-10-12,115.46
2000-10-13,114.83
2000-10-16,114.73
2000-10-17,113.99
2000-10-18,113.28
2000-10-19,113.27
2000-10-20,113.18
2000-10-23,113.29
2000-10-24,113.45
2000-10-25,113.54
2000-10-26,113.28
2000-10-27,113.14
2000-10-30,113.08
2000-10-31,112.53
2000-11-01,112.51
2000-11-02,112.12
2000-11-03,111.84
2000-11-06,111.86
2000-11-07,111.68
2000-11-08,111.81
2000-11-09,111.66
2000-11-10,111.49
2000-11-13,111.5
2000-11-14,111.43
2000-11-15,111.29
2000-11-16,111.23
2000-11-17,110.92
2000-11-20,110.29
2000-11-21,109.22
2000-11-22,108.62
2000-11-23,108.65
2000-11-24,108.61
2000-11-27,108.36
2000-11-28,108.12
2000-11-29,107.21
2000-11-30,105.91
2000-12-01,105.75
2000-12-04,105.37
2000-12-05,105.71
2000-12-06,106.13
2000-12-07,106.19
2000-12-08,106.41
2000-12-11,107.27
2000-12-12,108.03
2000-12-13,108.93
2000-12-14,109.02
2000-12-15,109.03
2000-12-18,109.13
2000-12-19,109.34
2000-12-20,109.29
2000-12-21,108.98
2000-12-22,108.94
2000-12-26,109.07
2000-12-27,109.03
2000-12-28,109.24
2000-12-29,109.25
2000-12-31,109.32
2001-01-02,109.4
2001-01-03,109.81
2001-01-04,110.59
2001-01-05,111.27
2001-01-08,111.75
2001-01-09,112.32
2001-01-10,112.93
2001-01-11,114.09
2001-01-12,114.8
2001-01-15,114.88
2001-01-16,115.03
2001-01-17,115.66
2001-01-18,115.91
2001-01-19,116.42
2001-01-22,116.55
2001-01-23,116.78
2001-01-24,117.01
2001-01-25,117.15
2001-01-26,117.27
2001-01-29,117.32
2001-01-30,117.48
2001-01-31,117.89
2001-02-01,118.2
2001-02-02,118.21
2001-02-05,118.39
2001-02-06,118.55
2001-02-07,118.63
2001-02-08,118.97
2001-02-09,119.15
2001-02-12,119.35
2001-02-13,119.3
2001-02-14,119.42
2001-02-15,119.46
2001-02-16,119.44
2001-02-19,119.54
2001-02-20,119.41
2001-02-21,118.9
2001-02-22,118.55
2001-02-23,118.53
2001-02-26,118.75
2001-02-27,119.01
2001-02-28,119.14
2001-03-01,119.15
2001-03-02,118.79
2001-03-05,118.75
2001-03-06,118.89
2001-03-07,119.09
2001-03-08,119.29
2001-03-09,119.36
2001-03-12,118.76
2001-03-13,118.48
2001-03-14,117.38
2001-03-15,117.35
2001-03-16,116.82
2001-03-19,116.01
2001-03-20,115.63
2001-03-21,114.7
2001-03-22,113.58
2001-03-23,114.05
2001-03-26,114.99
2001-03-27,115.27
2001-03-28,115.2
2001-03-29,114.99
2001-03-30,114.77
2001-03-31,114.77
2001-04-02,113.99
2001-04-03,112.33
2001-04-04,111.24
2001-04-05,111.03
2001-04-06,111.02
2001-04-09,110.91
2001-04-10,111.22
2001-04-11,111.5
2001-04-12,111.36
2001-04-16,111.47
2001-04-17,111.25
2001-04-18,111.57
2001-04-19,111.25
2001-04-20,111.41
2001-04-23,111.45
2001-04-24,111.65
2001-04-25,111.88
2001-04-26,112.0
2001-04-27,112.01
2001-04-30,112.25
2001-05-01,112.64
2001-05-02,113.67
2001-05-03,113.76
2001-05-04,113.74
2001-05-07,113.78
2001-05-08,113.87
2001-05-09,113.78
2001-05-10,113.65
2001-05-11,113.59
2001-05-14,113.45
2001-05-15,113.43
2001-05-16,113.07
2001-05-17,112.83
2001-05-18,113.0
2001-05-21,113.02
2001-05-22,113.26
2001-05-23,113.21
2001-05-24,113.54
2001-05-25,113.64
2001-05-28,113.74
2001-05-29,113.73
2001-05-30,113.7
2001-05-31,113.49
2001-06-01,113.4
2001-06-04,113.48
2001-06-05,113.45
2001-06-06,113.56
2001-06-07,113.5
2001-06-08,113.39
2001-06-11,113.45
2001-06-12,113.09
2001-06-13,112.62
2001-06-14,111.58
2001-06-15,111.13
2001-06-18,109.93
2001-06-19,109.2
2001-06-20,108.42
2001-06-21,108.53
2001-06-22,108.84
2001-06-25,109.28
2001-06-26,109.12
2001-06-27,109.09
2001-06-28,109.15
2001-06-29,109.17
2001-06-30,109.2
2001-07-02,109.68
2001-07-03,109.82
2001-07-04,109.85
2001-07-05,110.01
2001-07-06,110.04
2001-07-09,109.85
2001-07-10,109.72
2001-07-11,109.52
2001-07-12,109.39
2001-07-13,109.25
2001-07-16,109.15
2001-07-17,108.9
2001-07-18,108.57
2001-07-19,108.49
2001-07-20,108.55
2001-07-23,108.85
2001-07-24,109.24
2001-07-25,109.38
2001-07-26,109.59
2001-07-27,109.87
2001-07-30,110.26
2001-07-31,110.4
2001-08-01,110.75
2001-08-02,111.05
2001-08-03,111.26
2001-08-06,111.63
2001-08-07,111.83
2001-08-08,111.93
2001-08-09,111.77
2001-08-10,111.58
2001-08-13,111.53
2001-08-14,111.49
2001-08-15,111.41
2001-08-16,111.32
2001-08-17,111.07
2001-08-20,111.11
2001-08-21,110.84
2001-08-22,110.53
2001-08-23,110.42
2001-08-24,110.51
2001-08-27,110.58
2001-08-28,110.74
2001-08-29,110.84
2001-08-30,110.86
2001-08-31,110.87
2001-09-03,110.94
2001-09-04,111.05
2001-09-05,110.87
2001-09-06,110.78
2001-09-07,110.38
2001-09-10,110.24
2001-09-14,106.83
2001-09-17,105.67
2001-09-18,105.79
2001-09-19,105.76
2001-09-20,105.34
2001-09-21,104.67
2001-09-24,104.76
2001-09-25,104.51
2001-09-26,104.42
2001-09-27,104.02
2001-09-28,102.89
2001-09-30,102.95
2001-10-01,102.74
2001-10-02,102.72
2001-10-03,102.86
2001-10-04,103.4
2001-10-05,103.45
2001-10-08,104.11
2001-10-09,104.25
2001-10-10,104.66
2001-10-11,104.95
2001-10-12,105.38
2001-10-15,106.08
2001-10-16,106.22
2001-10-17,106.42
2001-10-18,106.45
2001-10-19,106.37
2001-10-22,106.39
2001-10-23,106.39
2001-10-24,106.5
2001-10-25,106.77
2001-10-26,106.81
2001-10-29,107.15
2001-10-30,107.04
2001-10-31,106.94
2001-11-01,106.92
2001-11-02,107.04
2001-11-05,107.38
2001-11-06,107.27
2001-11-07,107.58
2001-11-08,108.34
2001-11-09,108.5
2001-11-12,108.57
